song_name,song_position,artist_name,playlist_year,danceability,valence,speechiness
Mama Look at Me Now,46,Galantis,Top Songs 2019,0.59,0.4,0.0384
Woman Like Me (feat. Nicki Minaj),47,Little Mix,Top Songs 2019,0.757,0.826,0.0536
Tune Maari Entriyaan,48,Sohail Sen,Top Songs 2019,0.794,0.779,0.215
I Don't Care (with Justin Bieber),49,Ed Sheeran,Top Songs 2019,0.798,0.842,0.0442
Game of Survival,50,Ruelle,Top Songs 2019,0.557,0.153,0.0522
Los Idiotas,51,Calle 13,Top Songs 2019,0.667,0.674,0.0691
SOS,52,Avicii,Top Songs 2019,0.802,0.376,0.0715
Every Breath You Take,53,The Police,Top Songs 2019,0.822,0.722,0.0343
My Kind,54,Alessia Cara,Top Songs 2019,0.582,0.494,0.194
Give Love a Try,55,Jonas Brothers,Top Songs 2019,0.794,0.419,0.0376
Keep Me Crazy,56,Sheppard,Top Songs 2019,0.683,0.717,0.0552
Sangria Wine,57,Pharrell Williams,Top Songs 2019,0.831,0.69,0.094
Woke Up Late (feat. Hailee Steinfeld),58,Drax Project,Top Songs 2019,0.698,0.351,0.083
Regrésame Mi Corazón,59,Carlos Rivera,Top Songs 2019,0.696,0.408,0.094
This Feeling,60,The Chainsmokers,Top Songs 2019,0.575,0.449,0.0439
What Makes A Good Man?,61,The Heavy,Top Songs 2019,0.456,0.333,0.0786
Afterlife,62,Hailee Steinfeld,Top Songs 2019,0.673,0.343,0.0356
I Don't Want To,63,Alessia Cara,Top Songs 2019,0.531,0.634,0.379
You Don't Mess Around With Jim,64,Jim Croce,Top Songs 2019,0.702,0.968,0.0596
One Foot,65,WALK THE MOON,Top Songs 2019,0.581,0.492,0.0357
Happier,66,Marshmello,Top Songs 2019,0.687,0.671,0.0452
Comfortable,67,Alessia Cara,Top Songs 2019,0.721,0.667,0.0302
The Hills,68,The Weeknd,Top Songs 2019,0.585,0.137,0.0515
Some Nights,69,fun.,Top Songs 2019,0.672,0.392,0.0506
Magic,70,Coldplay,Top Songs 2019,0.738,0.352,0.0402
Easier Said,71,Alessia Cara,Top Songs 2019,0.411,0.611,0.11
Pasos de cero,72,Pablo Alborán,Top Songs 2019,0.749,0.798,0.0764
Fly With Me,73,Jonas Brothers,Top Songs 2019,0.481,0.523,0.0576
Lights On,74,Shawn Mendes,Top Songs 2019,0.705,0.555,0.0648
Growing Pains,75,Alessia Cara,Top Songs 2019,0.353,0.432,0.74
Duro y Suave,76,Leslie Grace,Top Songs 2019,0.769,0.618,0.153
In Love With A Camera,77,The Struts,Top Songs 2019,0.557,0.638,0.0378
End of Time,78,Beyoncé,Top Songs 2019,0.711,0.785,0.219
7 Days,79,Alessia Cara,Top Songs 2019,0.503,0.798,0.188
Bad Dream,80,Ruelle,Top Songs 2019,0.624,0.241,0.0339
"Feel It (feat. Lloyd, Rich Homie Quan)",81,Jacquees,Top Songs 2019,0.54,0.155,0.072
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",82,The Weeknd,Top Songs 2019,0.667,0.453,0.0325
Nintendo Game,83,Alessia Cara,Top Songs 2019,0.474,0.323,0.228
Mayores,84,Becky G,Top Songs 2019,0.743,0.871,0.0436
"Let Me Go (with Alesso, Florida Georgia Line & watt)",85,Hailee Steinfeld,Top Songs 2019,0.664,0.742,0.0474
Icky Thump,86,The White Stripes,Top Songs 2019,0.415,0.356,0.0927
Growing Pains (Reprise),87,Alessia Cara,Top Songs 2019,0.429,0.327,0.0432
Could Have Been Me,88,The Struts,Top Songs 2019,0.541,0.434,0.0642
Partition,89,Beyoncé,Top Songs 2019,0.412,0.174,0.291
Black Eyes,90,Bradley Cooper,Top Songs 2019,0.373,0.46,0.0834
Trust My Lonely,91,Alessia Cara,Top Songs 2019,0.613,0.622,0.162
Please Be Naked,92,The 1975,Top Songs 2019,0.211,0.0817,0.0582
Friend Of Mine (feat. Vargas & Lagola),93,Avicii,Top Songs 2019,0.701,0.666,0.056
Primadonna Like Me,94,The Struts,Top Songs 2019,0.53,0.836,0.0459
All We Know,95,Alessia Cara,Top Songs 2019,0.47,0.409,0.0973
Free Bird,96,Lynyrd Skynyrd,Top Songs 2019,0.249,0.338,0.0577
Hands,97,Mike Perry,Top Songs 2019,0.719,0.599,0.0444
Put Your Money On Me,98,The Struts,Top Songs 2019,0.565,0.684,0.057
Zeus,99,Destripando la Historia,Top Songs 2019,0.73,0.844,0.0482
La vie en rose - Single Version,100,Louis Armstrong,Top Songs 2019,0.507,0.326,0.0544
Mucho Más Allá,1,Carmen Sarahi,Top Songs 2020,0.397,0.397,0.037
Blue Monday,2,Sebastian Böhm,Top Songs 2020,0.558,0.12,0.0343
Don't Start Now,3,Dua Lipa,Top Songs 2020,0.793,0.679,0.083
What A Man Gotta Do,4,Jonas Brothers,Top Songs 2020,0.852,0.324,0.0629
Boys Will Be Boys,5,Dua Lipa,Top Songs 2020,0.768,0.519,0.0353
Cuando los Pies Besan el Piso,6,Calle 13,Top Songs 2020,0.682,0.597,0.128
"I Choose - From The Netflix Original Film ""The Willoughbys""",7,Alessia Cara,Top Songs 2020,0.66,0.416,0.0764
Milionària,8,ROSALÍA,Top Songs 2020,0.857,0.906,0.416
Levitating,9,Dua Lipa,Top Songs 2020,0.695,0.914,0.0753
The Chain - 2004 Remaster,10,Fleetwood Mac,Top Songs 2020,0.545,0.481,0.0496
Cuídate,11,La Oreja de Van Gogh,Top Songs 2020,0.662,0.542,0.0335
Sparkle - movie ver.,12,RADWIMPS,Top Songs 2020,0.372,0.287,0.0339
Physical,13,Dua Lipa,Top Songs 2020,0.647,0.746,0.0457
Lonely Heart,14,5 Seconds of Summer,Top Songs 2020,0.592,0.261,0.0513
En el Aire,15,Vega Almohalla,Top Songs 2020,0.562,0.416,0.108
All I Am,16,Jess Glynne,Top Songs 2020,0.743,0.523,0.0344
Cool,17,Dua Lipa,Top Songs 2020,0.469,0.79,0.0664
No Shame,18,5 Seconds of Summer,Top Songs 2020,0.576,0.48,0.0374
OKAY OKAY,19,Alessia Cara,Top Songs 2020,0.684,0.752,0.262
René,20,Residente,Top Songs 2020,0.486,0.467,0.126
Break My Heart,21,Dua Lipa,Top Songs 2020,0.73,0.467,0.0884
Watermelon Sugar,22,Harry Styles,Top Songs 2020,0.548,0.557,0.0465
"Touch The Sky - From ""Brave""/Soundtrack",23,Julie Fowlis,Top Songs 2020,0.372,0.33,0.047
River,24,Bishop Briggs,Top Songs 2020,0.726,0.561,0.0477
Future Nostalgia,25,Dua Lipa,Top Songs 2020,0.875,0.859,0.0579
I Choose - From The Netflix Original Film The Willoughbys / Acoustic (Bonus Track),26,Alessia Cara,Top Songs 2020,0.594,0.485,0.0345
Viento y Cielo Alcanzar,27,Yuridia,Top Songs 2020,0.638,0.27,0.0351
Nice To Meet Ya,28,Niall Horan,Top Songs 2020,0.591,0.392,0.0304
Pretty Please,29,Dua Lipa,Top Songs 2020,0.906,0.656,0.194
Sucker,30,Jonas Brothers,Top Songs 2020,0.842,0.952,0.0588
Formation,31,Beyoncé,Top Songs 2020,0.896,0.818,0.237
Querer Mejor,32,Juanes,Top Songs 2020,0.781,0.615,0.134
A Little More,33,Alessia Cara,Top Songs 2020,0.478,0.23,0.0364
Soul - Japanese Bonus Track,34,Céline Dion,Top Songs 2020,0.65,0.586,0.0289
Single Ladies (Put a Ring on It),35,Beyoncé,Top Songs 2020,0.426,0.272,0.296
Hallucinate,36,Dua Lipa,Top Songs 2020,0.627,0.627,0.139
Historia de un Sueño,37,La Oreja de Van Gogh,Top Songs 2020,0.472,0.427,0.0261
Teeth,38,5 Seconds of Summer,Top Songs 2020,0.749,0.42,0.0416
Madness,39,Ruelle,Top Songs 2020,0.509,0.421,0.0433
Real Gone,40,Sheryl Crow,Top Songs 2020,0.608,0.806,0.0472
How Far I'll Go,41,Auli'i Cravalho,Top Songs 2020,0.571,0.108,0.0499
Who Do You Love,42,The Chainsmokers,Top Songs 2020,0.51,0.475,0.0461
Love Again,43,Dua Lipa,Top Songs 2020,0.659,0.468,0.0339
October - Live Off The Floor,44,Alessia Cara,Top Songs 2020,0.612,0.384,0.0287
Hey Jude - Remastered 2015,45,The Beatles,Top Songs 2020,0.386,0.532,0.0261
Run Boy Run,46,Woodkid,Top Songs 2020,0.506,0.34,0.102
School of Rock: The Musical - Medley,47,Kurt Hugo Schneider,Top Songs 2020,0.692,0.551,0.0676
October,48,Alessia Cara,Top Songs 2020,0.735,0.642,0.0293
La Playa,49,La Oreja de Van Gogh,Top Songs 2020,0.589,0.311,0.0268
Empire,50,Shakira,Top Songs 2020,0.541,0.364,0.0603
Legend,51,The Score,Top Songs 2020,0.601,0.462,0.028
Ready - Live Off The Floor,52,Alessia Cara,Top Songs 2020,0.454,0.582,0.0424
Get Right,53,Jennifer Lopez,Top Songs 2020,0.741,0.362,0.12
Break a Sweat,54,Becky G,Top Songs 2020,0.786,0.65,0.059
Así de Grandes Son las Ideas,55,Calle 13,Top Songs 2020,0.511,0.492,0.0653
Ready,56,Alessia Cara,Top Songs 2020,0.519,0.616,0.181
London Bridge,57,Fergie,Top Songs 2020,0.769,0.633,0.357
Hold My Hand,58,Jess Glynne,Top Songs 2020,0.642,0.431,0.0289
The OA - Main Theme,59,Geek Music,Top Songs 2020,0.117,0.0736,0.0347
Out Of Love,60,Alessia Cara,Top Songs 2020,0.481,0.137,0.0339
Pop,61,La Oreja de Van Gogh,Top Songs 2020,0.719,0.751,0.0284
Not Today,62,Imagine Dragons,Top Songs 2020,0.462,0.0428,0.0292
ON (Feat. Sia),63,BTS,Top Songs 2020,0.591,0.386,0.0828
Higher,64,The Score,Top Songs 2020,0.449,0.465,0.0327
La Rubia - Remix 2,65,La Nueva Escuela,Top Songs 2020,0.759,0.761,0.133
No Regrets (feat. Krewella),66,KSHMR,Top Songs 2020,0.33,0.279,0.155
Wild Things,67,Alessia Cara,Top Songs 2020,0.741,0.706,0.0886
Wildflower,68,5 Seconds of Summer,Top Songs 2020,0.643,0.597,0.0455
Falling,69,Harry Styles,Top Songs 2020,0.567,0.0592,0.0299
Woman Like Me (feat. Nicki Minaj),70,Little Mix,Top Songs 2020,0.757,0.826,0.0536
What's On Your Mind?,71,Alessia Cara,Top Songs 2020,0.786,0.776,0.15
Body Talks (feat. Kesha),72,The Struts,Top Songs 2020,0.537,0.843,0.274
Bow Down - Homecoming Live,73,Beyoncé,Top Songs 2020,0.395,0.377,0.128
Most Girls,74,Hailee Steinfeld,Top Songs 2020,0.756,0.417,0.0763
Scars To Your Beautiful - Live Off The Floor (Bonus Track),75,Alessia Cara,Top Songs 2020,0.399,0.613,0.042
Singing in the Rain (feat. R. City),76,Simple Plan,Top Songs 2020,0.562,0.65,0.0504
"Clear and Simple (feat. Caroline Shaw, Petra Haden & Susanna Hoffs)",77,Theodore Shapiro,Top Songs 2020,0.672,0.158,0.045
Tantas Cosas Que Contar,78,La Oreja de Van Gogh,Top Songs 2020,0.27,0.334,0.0379
Another Place,79,Bastille,Top Songs 2020,0.685,0.618,0.0471
Good In Bed,80,Dua Lipa,Top Songs 2020,0.68,0.649,0.0917
Run Away With Me,81,Carly Rae Jepsen,Top Songs 2020,0.564,0.251,0.0475
Dagombas en Tamale,82,Residente,Top Songs 2020,0.608,0.726,0.194
I'm Like A Bird - Recorded at Spotify Studios NYC,83,Alessia Cara,Top Songs 2020,0.524,0.582,0.103
Rollin,84,Jess Glynne,Top Songs 2020,0.716,0.708,0.0533
No Goodbyes,85,Dua Lipa,Top Songs 2020,0.678,0.307,0.0408
lovely (with Khalid),86,Billie Eilish,Top Songs 2020,0.351,0.12,0.0333
Here,87,Alessia Cara,Top Songs 2020,0.376,0.331,0.104
Antes de Morirme (feat. Rosalía),88,C. Tangana,Top Songs 2020,0.865,0.131,0.168
Mama Look at Me Now,89,Galantis,Top Songs 2020,0.59,0.4,0.0384
Soledad,90,La Oreja de Van Gogh,Top Songs 2020,0.58,0.638,0.0262
Rooting For You - Live Off The Floor,91,Alessia Cara,Top Songs 2020,0.645,0.526,0.141
You Don't Mess Around With Jim,92,Jim Croce,Top Songs 2020,0.702,0.968,0.0596
Bibia Be Ye Ye,93,Ed Sheeran,Top Songs 2020,0.738,0.882,0.0824
Not In The Same Way,94,5 Seconds of Summer,Top Songs 2020,0.687,0.734,0.0444
What's On Your Mind? - Live Off The Floor,95,Alessia Cara,Top Songs 2020,0.572,0.666,0.126
That's My Girl,96,Fifth Harmony,Top Songs 2020,0.596,0.612,0.121
"Gato Que Avanza, Perro Que Ladra",97,Calle 13,Top Songs 2020,0.483,0.813,0.209
Bones (feat. OneRepublic),98,Galantis,Top Songs 2020,0.658,0.508,0.0377
Trust My Lonely,99,Alessia Cara,Top Songs 2020,0.613,0.622,0.162
Top Down,100,Fifth Harmony,Top Songs 2020,0.831,0.759,0.0429
Sweet Dream,1,Alessia Cara,Top Songs 2021,0.734,0.461,0.146
Non-Stop,2,Leslie Odom Jr.,Top Songs 2021,0.77,0.441,0.351
Shapeshifter,3,Alessia Cara,Top Songs 2021,0.723,0.612,0.0727
Out Of Love,4,Alessia Cara,Top Songs 2021,0.481,0.137,0.0339
Box In The Ocean,5,Alessia Cara,Top Songs 2021,0.604,0.583,0.0944
Run Boy Run,6,Woodkid,Top Songs 2021,0.506,0.34,0.102
drivers license,7,Olivia Rodrigo,Top Songs 2021,0.561,0.137,0.0578
Wait for It,8,Leslie Odom Jr.,Top Songs 2021,0.543,0.519,0.157
Bluebird,9,Alessia Cara,Top Songs 2021,0.697,0.717,0.0368
Nate Growing Up,10,Labrinth,Top Songs 2021,0.507,0.249,0.0504
champagne problems,11,Taylor Swift,Top Songs 2021,0.462,0.32,0.0377
"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",12,Pyotr Ilyich Tchaikovsky,Top Songs 2021,0.136,0.071,0.0364
Unboxing Intro,13,Alessia Cara,Top Songs 2021,0.502,0.974,0.405
Forever,14,Labrinth,Top Songs 2021,0.563,0.197,0.0292
Carnaval Del Barrio,15,Daphne Rubin-Vega,Top Songs 2021,0.546,0.7,0.101
How Far I'll Go - Alessia Cara Version,16,Alessia Cara,Top Songs 2021,0.31,0.148,0.346
"I Choose - From The Netflix Original Film ""The Willoughbys""",17,Alessia Cara,Top Songs 2021,0.66,0.416,0.0764
Solar Power,18,Lorde,Top Songs 2021,0.73,0.883,0.0879
"96,000",19,Anthony Ramos,Top Songs 2021,0.479,0.406,0.336
Sparkle - movie ver.,20,RADWIMPS,Top Songs 2021,0.372,0.287,0.0339
What's On Your Mind? - Live Off The Floor,21,Alessia Cara,Top Songs 2021,0.572,0.666,0.126
I Love You Always Forever,22,Betty Who,Top Songs 2021,0.532,0.493,0.0576
Mind Over Matter,23,Anthony Ramos,Top Songs 2021,0.852,0.636,0.137
deja vu,24,Olivia Rodrigo,Top Songs 2021,0.442,0.178,0.112
Wherever I Live,25,Alessia Cara,Top Songs 2021,0.717,0.594,0.102
Formula,26,Labrinth,Top Songs 2021,0.574,0.226,0.0409
Lover,27,Taylor Swift,Top Songs 2021,0.359,0.453,0.0919
Wildflowers,28,Maddie Poppe,Top Songs 2021,0.739,0.529,0.0375
Ready - Live Off The Floor,29,Alessia Cara,Top Songs 2021,0.454,0.582,0.0424
All For Us - from the HBO Original Series Euphoria,30,Labrinth,Top Songs 2021,0.348,0.172,0.0931
Yonaguni,31,Bad Bunny,Top Songs 2021,0.644,0.44,0.118
good 4 u,32,Olivia Rodrigo,Top Songs 2021,0.563,0.688,0.154
October - Live Off The Floor,33,Alessia Cara,Top Songs 2021,0.612,0.384,0.0287
Still Don't Know My Name,34,Labrinth,Top Songs 2021,0.316,0.313,0.117
Take Me There,35,Delta Rae,Top Songs 2021,0.632,0.501,0.0491
thank you anxiety,36,Avenue Beat,Top Songs 2021,0.588,0.629,0.0788
Middle Ground (feat. CHIKA),37,Alessia Cara,Top Songs 2021,0.547,0.796,0.361
A-O-K,38,Tai Verdes,Top Songs 2021,0.731,0.862,0.0805
On My Wave,39,Keiynan Lonsdale,Top Songs 2021,0.486,0.439,0.245
magic,40,Wrabel,Top Songs 2021,0.727,0.727,0.0954
Like You - Live Off The Floor,41,Alessia Cara,Top Songs 2021,0.665,0.648,0.157
Romeo,42,Bryce Xavier,Top Songs 2021,0.566,0.54,0.0563
Fever,43,Dua Lipa,Top Songs 2021,0.868,0.396,0.181
Bajo el mar,44,Michael Cruz,Top Songs 2021,0.656,0.927,0.0869
"I Miss You, Don't Call Me",45,Alessia Cara,Top Songs 2021,0.791,0.334,0.0545
I'd Rather Be Me,46,Barrett Wilbert Weed,Top Songs 2021,0.668,0.806,0.12
Historia de un Sueño,47,La Oreja de Van Gogh,Top Songs 2021,0.472,0.427,0.0261
After Midnight,48,Sam Creighton,Top Songs 2021,0.343,0.498,0.112
Lie To Me,49,Alessia Cara,Top Songs 2021,0.738,0.577,0.254
Fake ID (feat. Gretchen Wilson),50,Big & Rich,Top Songs 2021,0.663,0.73,0.0395
One Of A Kind,51,Juan de Marcos González,Top Songs 2021,0.704,0.62,0.0633
Levitating,52,Dua Lipa,Top Songs 2021,0.695,0.914,0.0753
Trust My Lonely,53,Alessia Cara,Top Songs 2021,0.613,0.622,0.162
Nobody’s Keeping Score,54,Cyn,Top Songs 2021,0.531,0.251,0.038
In The Heights,55,Anthony Ramos,Top Songs 2021,0.575,0.713,0.331
Love Story (Taylor’s Version),56,Taylor Swift,Top Songs 2021,0.626,0.416,0.0311
Rooting For You - Live Off The Floor,57,Alessia Cara,Top Songs 2021,0.645,0.526,0.141
DÁKITI,58,Bad Bunny,Top Songs 2021,0.731,0.145,0.0544
momma told me imma be,59,Tai Verdes,Top Songs 2021,0.659,0.506,0.252
Not Your Birthday,60,Allstar Weekend,Top Songs 2021,0.683,0.776,0.11
Fishbowl,61,Alessia Cara,Top Songs 2021,0.793,0.677,0.275
Too Young To Grow Old,62,Lxandra,Top Songs 2021,0.443,0.112,0.0685
Pilot with a Fear of Heights,63,Felicity,Top Songs 2021,0.54,0.341,0.0651
exile (feat. Bon Iver),64,Taylor Swift,Top Songs 2021,0.298,0.152,0.0287
Scars To Your Beautiful - Live Off The Floor (Bonus Track),65,Alessia Cara,Top Songs 2021,0.399,0.613,0.042
Queen In Me,66,Jujubee,Top Songs 2021,0.5,0.116,0.051
When A Girl,67,CARYS,Top Songs 2021,0.731,0.665,0.0501
Sleep When I'm Dead,68,These Girls These Boys,Top Songs 2021,0.838,0.405,0.0999
Growing Pains,69,Alessia Cara,Top Songs 2021,0.353,0.432,0.74
I Love You Always Forever,70,Donna Lewis,Top Songs 2021,0.744,0.122,0.0348
brutal,71,Olivia Rodrigo,Top Songs 2021,0.672,0.28,0.0599
Need to Know,72,Doja Cat,Top Songs 2021,0.664,0.194,0.0707
I Choose - From The Netflix Original Film The Willoughbys / Acoustic (Bonus Track),73,Alessia Cara,Top Songs 2021,0.594,0.485,0.0345
Don't Start Now,74,Dua Lipa,Top Songs 2021,0.793,0.679,0.083
Out Loud,75,HRVY,Top Songs 2021,0.776,0.703,0.269
Dress,76,Charlotte Sands,Top Songs 2021,0.807,0.793,0.182
Somebody Else,77,Alessia Cara,Top Songs 2021,0.718,0.963,0.0429
traitor,78,Olivia Rodrigo,Top Songs 2021,0.38,0.0849,0.0338
Keep the Beat,79,Lin-Manuel Miranda,Top Songs 2021,0.705,0.38,0.0463
Benny's Dispatch,80,Leslie Grace,Top Songs 2021,0.674,0.256,0.216
Girl Next Door,81,Alessia Cara,Top Songs 2021,0.705,0.422,0.12
Me Vieron Cruzar,82,Residente/Calle 13,Top Songs 2021,0.537,0.499,0.0429
Pessimist,83,Greta Isaac,Top Songs 2021,0.539,0.729,0.236
Blackout,84,Anthony Ramos,Top Songs 2021,0.611,0.502,0.0698
Find My Boy,85,Alessia Cara,Top Songs 2021,0.636,0.712,0.121
enough for you,86,Olivia Rodrigo,Top Songs 2021,0.638,0.269,0.0898
1-800-273-8255,87,Logic,Top Songs 2021,0.62,0.357,0.0479
Alexander Hamilton,88,Leslie Odom Jr.,Top Songs 2021,0.609,0.552,0.285
A Little More,89,Alessia Cara,Top Songs 2021,0.478,0.23,0.0364
Getaway Car,90,Taylor Swift,Top Songs 2021,0.562,0.351,0.127
Magic (In Your Bones),91,Arielle Estoria,Top Songs 2021,0.543,0.192,0.402
"Kingdom Dance - From ""Tangled""/Score",92,Alan Menken,Top Songs 2021,0.239,0.47,0.0773
Drama Queen,93,Alessia Cara,Top Songs 2021,0.798,0.712,0.136
Out Of The Woods,94,Taylor Swift,Top Songs 2021,0.553,0.338,0.0396
Boys Will Be Boys,95,Dua Lipa,Top Songs 2021,0.768,0.519,0.0353
Madness,96,Ruelle,Top Songs 2021,0.509,0.421,0.0433
Not Today,97,Alessia Cara,Top Songs 2021,0.76,0.169,0.123
willow,98,Taylor Swift,Top Songs 2021,0.392,0.529,0.17
"Symphony No. 9 in D Minor, Op.125 'Choral': Ode to Joy",99,Ludwig van Beethoven,Top Songs 2021,0.19,0.219,0.0413
Wild Thing,100,Jasmine Cephas-Jones,Top Songs 2021,0.644,0.186,0.046
