song_name,song_position,artist_name,playlist_year,danceability,valence,speechiness
We Know The Way,69,Opetaia Foa'i,Top Songs 2016,0.689,0.391,0.0368
What Now,70,Rihanna,Top Songs 2016,0.402,0.227,0.0448
Super Bass,71,Nicki Minaj,Top Songs 2016,0.721,0.639,0.196
This Is What You Came For (feat. Rihanna),72,Calvin Harris,Top Songs 2016,0.631,0.465,0.0332
Raging (feat. Kodaline),73,Kygo,Top Songs 2016,0.55,0.408,0.094
Overdose,74,Little Daylight,Top Songs 2016,0.559,0.757,0.0678
Jet Black Heart,75,5 Seconds of Summer,Top Songs 2016,0.507,0.545,0.033
Something Big,76,Shawn Mendes,Top Songs 2016,0.695,0.804,0.0431
Impossible,77,James Arthur,Top Songs 2016,0.376,0.302,0.0933
Sympathy For The Devil,78,The Rolling Stones,Top Songs 2016,0.658,0.587,0.242
On My Way,79,The Baseballs,Top Songs 2016,0.537,0.567,0.0453
Miss Movin' On,80,Fifth Harmony,Top Songs 2016,0.464,0.437,0.0508
A Sky Full of Stars,81,Coldplay,Top Songs 2016,0.545,0.162,0.0279
The Night Is Still Young,82,Nicki Minaj,Top Songs 2016,0.656,0.693,0.0563
Gyal You A Party Animal,83,Charly Black,Top Songs 2016,0.588,0.871,0.0932
The Best Damn Thing,84,Avril Lavigne,Top Songs 2016,0.552,0.854,0.0899
Cheers (Drink To That),85,Rihanna,Top Songs 2016,0.576,0.727,0.0403
Get Ugly,86,Jason Derulo,Top Songs 2016,0.75,0.539,0.12
18,87,One Direction,Top Songs 2016,0.681,0.221,0.0313
Thunderstruck,88,AC/DC,Top Songs 2016,0.502,0.259,0.0364
In The Night,89,The Weeknd,Top Songs 2016,0.48,0.506,0.13
No soy una de esas (feat. Alejandro Sanz),90,Jesse & Joy,Top Songs 2016,0.644,0.807,0.161
I'll Show You,91,Justin Bieber,Top Songs 2016,0.361,0.0789,0.098
Kamikaze,92,MØ,Top Songs 2016,0.663,0.704,0.0646
Suéltate,93,Mando,Top Songs 2016,0.709,0.823,0.041
Hall of Fame (feat. will.i.am),94,The Script,Top Songs 2016,0.421,0.629,0.0564
Choke,95,OneRepublic,Top Songs 2016,0.582,0.263,0.0346
Carnaval,96,Maluma,Top Songs 2016,0.74,0.782,0.033
Go Big Or Go Home,97,American Authors,Top Songs 2016,0.663,0.766,0.043
$,98,Ty Dolla $ign,Top Songs 2016,0.87,0.317,0.0501
Bohemian Rhapsody,99,Queen,Top Songs 2016,0.456,0.206,0.0462
Tenerife Sea,100,Ed Sheeran,Top Songs 2016,0.53,0.359,0.0376
Stay,1,Zedd,Top Songs 2017,0.69,0.544,0.0622
1-800-273-8255,2,Logic,Top Songs 2017,0.62,0.357,0.0479
Milo,3,Residente,Top Songs 2017,0.617,0.593,0.0598
More Than You Know,4,Axwell /\ Ingrosso,Top Songs 2017,0.641,0.505,0.0339
Down,5,Fifth Harmony,Top Songs 2017,0.53,0.401,0.133
Most Girls,6,Hailee Steinfeld,Top Songs 2017,0.756,0.417,0.0763
Silence,7,Marshmello,Top Songs 2017,0.52,0.286,0.0853
Here,8,Alessia Cara,Top Songs 2017,0.376,0.331,0.104
Dagombas en Tamale,9,Residente,Top Songs 2017,0.608,0.726,0.194
No More Sad Songs,10,Little Mix,Top Songs 2017,0.709,0.728,0.0469
I Can Only. (feat. Alessia Cara),11,JoJo,Top Songs 2017,0.641,0.335,0.0505
Ride,12,Naïka,Top Songs 2017,0.736,0.532,0.0551
It Won't Kill Ya,13,The Chainsmokers,Top Songs 2017,0.572,0.12,0.0654
Guerra,14,Residente,Top Songs 2017,0.519,0.297,0.075
Barcelona,15,Ed Sheeran,Top Songs 2017,0.747,0.682,0.187
Everybody,16,Logic,Top Songs 2017,0.885,0.773,0.0913
Now Or Never,17,Halsey,Top Songs 2017,0.67,0.447,0.0354
Legend,18,The Score,Top Songs 2017,0.607,0.472,0.0277
Heaven,19,OneRepublic,Top Songs 2017,0.585,0.37,0.0321
Friend Of Mine (feat. Vargas & Lagola),20,Avicii,Top Songs 2017,0.701,0.666,0.056
Cómo Te Atreves,21,Morat,Top Songs 2017,0.613,0.744,0.0445
Power (feat. Stormzy),22,Little Mix,Top Songs 2017,0.568,0.438,0.304
Mama,23,Jonas Blue,Top Songs 2017,0.737,0.543,0.0416
Whatever It Takes,24,Imagine Dragons,Top Songs 2017,0.675,0.536,0.0318
Solo Dance,25,Martin Jensen,Top Songs 2017,0.746,0.403,0.048
Wild Things,26,Alessia Cara,Top Songs 2017,0.741,0.706,0.0886
"Tchaikovsky: Swan Lake (Ballet), Op. 20, Act 2: No. 10, Scène (Moderato)",27,Pyotr Ilyich Tchaikovsky,Top Songs 2017,0.109,0.0692,0.0382
Cold,28,Maroon 5,Top Songs 2017,0.7,0.458,0.104
This Is My World (feat. Austin Jenckes),29,Esterly,Top Songs 2017,0.602,0.389,0.0394
chateau,30,blackbear,Top Songs 2017,0.667,0.498,0.0431
I'm with You,31,Avril Lavigne,Top Songs 2017,0.457,0.208,0.0291
Wolves Without Teeth,32,Of Monsters and Men,Top Songs 2017,0.362,0.436,0.0334
Shape of You,33,Ed Sheeran,Top Songs 2017,0.825,0.931,0.0802
Swalla (feat. Nicki Minaj & Ty Dolla $ign),34,Jason Derulo,Top Songs 2017,0.696,0.782,0.109
do re mi,35,blackbear,Top Songs 2017,0.745,0.169,0.0486
Empire,36,Of Monsters and Men,Top Songs 2017,0.504,0.544,0.0321
Mi Gente,37,J Balvin,Top Songs 2017,0.774,0.308,0.0584
Galway Girl,38,Ed Sheeran,Top Songs 2017,0.624,0.781,0.1
7 Years,39,Lukas Graham,Top Songs 2017,0.765,0.34,0.0514
Me Rehúso,40,Danny Ocean,Top Songs 2017,0.746,0.447,0.0698
There's Nothing Holdin' Me Back,41,Shawn Mendes,Top Songs 2017,0.866,0.969,0.0554
Hallelujah,42,Logic,Top Songs 2017,0.674,0.46,0.195
Everyday,43,Ariana Grande,Top Songs 2017,0.637,0.431,0.0563
Without You (feat. Sandro Cavazza),44,Avicii,Top Songs 2017,0.662,0.295,0.0428
Sober,45,Lorde,Top Songs 2017,0.796,0.516,0.181
No Vacancy,46,OneRepublic,Top Songs 2017,0.72,0.481,0.0489
Believer,47,Imagine Dragons,Top Songs 2017,0.772,0.748,0.112
Nancy Mulligan,48,Ed Sheeran,Top Songs 2017,0.68,0.858,0.0349
Stay - Acoustic,49,Zedd,Top Songs 2017,0.625,0.294,0.028
The Only Exception,50,Paramore,Top Songs 2017,0.452,0.209,0.0272
Inside Out,51,The Chainsmokers,Top Songs 2017,0.549,0.141,0.0311
No Me Lo Puedo Explicar,52,Tiziano Ferro,Top Songs 2017,0.6,0.228,0.0359
Glorious (feat. Skylar Grey),53,Macklemore,Top Songs 2017,0.731,0.356,0.0522
Wherever You Are,54,5 Seconds of Summer,Top Songs 2017,0.562,0.459,0.0298
I'm Yours,55,Alessia Cara,Top Songs 2017,0.504,0.399,0.125
Please Be Naked,56,The 1975,Top Songs 2017,0.211,0.0817,0.0582
Dirty Paws,57,Of Monsters and Men,Top Songs 2017,0.359,0.133,0.035
Shed a Light,58,Robin Schulz,Top Songs 2017,0.483,0.58,0.102
Choke,59,OneRepublic,Top Songs 2017,0.582,0.263,0.0346
Homemade Dynamite,60,Lorde,Top Songs 2017,0.771,0.268,0.0577
Real Gone,61,Sheryl Crow,Top Songs 2017,0.608,0.806,0.0472
Idfc,62,blackbear,Top Songs 2017,0.63,0.315,0.0611
Feel Good (feat. Daya),63,Gryffin,Top Songs 2017,0.625,0.479,0.0337
Touch,64,Little Mix,Top Songs 2017,0.607,0.551,0.0978
Take Me Home,65,Jess Glynne,Top Songs 2017,0.558,0.238,0.0388
How Far I'll Go - Alessia Cara Version,66,Alessia Cara,Top Songs 2017,0.31,0.148,0.346
Too Dry to Cry,67,Willis Earl Beal,Top Songs 2017,0.71,0.428,0.0649
Middle Of The Night,68,The Vamps,Top Songs 2017,0.61,0.436,0.0531
Messy,69,Fifth Harmony,Top Songs 2017,0.579,0.349,0.0503
hell is where i dreamt of u and woke up alone,70,blackbear,Top Songs 2017,0.507,0.25,0.0612
Hands,71,Mike Perry,Top Songs 2017,0.719,0.599,0.0444
Gold Dust,72,Galantis,Top Songs 2017,0.242,0.128,0.0361
WILD,73,Troye Sivan,Top Songs 2017,0.624,0.517,0.0823
Green Light,74,Lorde,Top Songs 2017,0.594,0.253,0.0957
I Lied,75,Fifth Harmony,Top Songs 2017,0.674,0.492,0.179
Castle,76,Halsey,Top Songs 2017,0.626,0.164,0.0327
Good Life (with G-Eazy & Kehlani),77,G-Eazy,Top Songs 2017,0.572,0.54,0.233
Higher,78,The Score,Top Songs 2017,0.457,0.479,0.0316
Gasoline,79,Halsey,Top Songs 2017,0.731,0.319,0.0399
Glitter & Gold,80,Barns Courtney,Top Songs 2017,0.487,0.352,0.0383
Something Just Like This,81,The Chainsmokers,Top Songs 2017,0.607,0.505,0.0362
She Will Be Loved,82,Maroon 5,Top Songs 2017,0.706,0.544,0.0301
Red,83,Taylor Swift,Top Songs 2017,0.602,0.641,0.0437
Let's Hurt Tonight,84,OneRepublic,Top Songs 2017,0.359,0.272,0.0366
Miracle,85,The Score,Top Songs 2017,0.642,0.567,0.0343
Hurricane,86,The Vamps,Top Songs 2017,0.311,0.762,0.105
Fragile,87,Kygo,Top Songs 2017,0.47,0.218,0.0522
Second Chances,88,Imagine Dragons,Top Songs 2017,0.401,0.362,0.0355
HUMBLE.,89,Kendrick Lamar,Top Songs 2017,0.908,0.421,0.102
Bacon,90,Nick Jonas,Top Songs 2017,0.709,0.755,0.0799
I Lived,91,OneRepublic,Top Songs 2017,0.599,0.311,0.0436
Lot to Learn,92,Luke Christopher,Top Songs 2017,0.405,0.602,0.195
Love Me Now,93,John Legend,Top Songs 2017,0.416,0.716,0.0949
Write On Me,94,Fifth Harmony,Top Songs 2017,0.441,0.475,0.128
Life Of The Party,95,Shawn Mendes,Top Songs 2017,0.666,0.161,0.0314
Robarte un Beso,96,Carlos Vives,Top Songs 2017,0.748,0.678,0.0501
Young,97,The Chainsmokers,Top Songs 2017,0.615,0.454,0.0291
Mama Said,98,Lukas Graham,Top Songs 2017,0.712,0.591,0.0703
The Scientist,99,Coldplay,Top Songs 2017,0.557,0.213,0.0243
